"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFRAINVEST","RAIL","EUR","A","1994",541805970.6,
"AUS","INFRAINVEST","RAIL","EUR","A","1995",571626711.2,
"AUS","INFRAINVEST","RAIL","EUR","A","1996",802011114.1,
"AUS","INFRAINVEST","RAIL","EUR","A","1997",747886518.7,
"AUS","INFRAINVEST","RAIL","EUR","A","1998",648492072.2,
"AUS","INFRAINVEST","RAIL","EUR","A","1999",564957297,
"AUS","INFRAINVEST","RAIL","EUR","A","2000",411180193.8,
"AUS","INFRAINVEST","RAIL","EUR","A","2001",366910463.6,
"AUS","INFRAINVEST","RAIL","EUR","A","2002",662954843,
"AUS","INFRAINVEST","RAIL","EUR","A","2003",748523928.6,
"AUS","INFRAINVEST","RAIL","EUR","A","2004",1105364376,
"AUS","INFRAINVEST","RAIL","EUR","A","2005",1496283129,
"AUS","INFRAINVEST","RAIL","EUR","A","2006",1251611425,
"AUS","INFRAINVEST","RAIL","EUR","A","2007",1962260345,
"AUS","INFRAINVEST","RAIL","EUR","A","2008",1734889810,
"AUS","INFRAINVEST","RAIL","EUR","A","2009",2284971414,
"AUS","INFRAINVEST","RAIL","EUR","A","2010",3611610590,
"AUS","INFRAINVEST","RAIL","EUR","A","2011",5164883847,
"AUS","INFRAINVEST","RAIL","EUR","A","2012",6602253138,
"AUS","INFRAINVEST","RAIL","EUR","A","2013",4975556296,
"AUS","INFRAINVEST","RAIL","EUR","A","2014",4320269258,
"AUS","INFRAINVEST","RAIL","EUR","A","2015",2796273622,
"AUS","INFRAINVEST","RAIL","EUR","A","2016",2563852636,
"AUS","INFRAINVEST","RAIL","EUR","A","2017",3755096713,
"AUS","INFRAINVEST","ROAD","EUR","A","1994",2853264889,
"AUS","INFRAINVEST","ROAD","EUR","A","1995",2425107142,
"AUS","INFRAINVEST","ROAD","EUR","A","1996",2924042252,
"AUS","INFRAINVEST","ROAD","EUR","A","1997",3333285963,
"AUS","INFRAINVEST","ROAD","EUR","A","1998",3537193230,
"AUS","INFRAINVEST","ROAD","EUR","A","1999",3929716945,
"AUS","INFRAINVEST","ROAD","EUR","A","2000",3700546881,
"AUS","INFRAINVEST","ROAD","EUR","A","2001",3261995407,
"AUS","INFRAINVEST","ROAD","EUR","A","2002",3429883601,
"AUS","INFRAINVEST","ROAD","EUR","A","2003",4084762236,
"AUS","INFRAINVEST","ROAD","EUR","A","2004",5192125951,
"AUS","INFRAINVEST","ROAD","EUR","A","2005",6753177990,
"AUS","INFRAINVEST","ROAD","EUR","A","2006",6972545187,
"AUS","INFRAINVEST","ROAD","EUR","A","2007",8026364947,
"AUS","INFRAINVEST","ROAD","EUR","A","2008",9304510165,
"AUS","INFRAINVEST","ROAD","EUR","A","2009",9195852832,
"AUS","INFRAINVEST","ROAD","EUR","A","2010",11200596051,
"AUS","INFRAINVEST","ROAD","EUR","A","2011",13801954227,
"AUS","INFRAINVEST","ROAD","EUR","A","2012",15900879666,
"AUS","INFRAINVEST","ROAD","EUR","A","2013",12734390340,
"AUS","INFRAINVEST","ROAD","EUR","A","2014",10438895604,
"AUS","INFRAINVEST","ROAD","EUR","A","2015",10457074593,
"AUS","INFRAINVEST","ROAD","EUR","A","2016",11863364267,
"AUS","INFRAINVEST","ROAD","EUR","A","2017",13689819357,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","1995",1.0685868648737,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","1996",1.1455630128184,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","1997",1.1222730064057,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","1998",1.2671168191642,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","1999",1.1975684130874,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2000",0.98899175164445,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2001",0.89156344091514,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2002",0.94166123964278,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2003",1.0515953726325,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2004",1.2367983585499,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2005",1.4571560055223,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2006",1.3767357055555,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2007",1.5059158914246,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2008",1.6365590263809,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2009",1.6252799407455,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2010",1.6462749378598,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2011",1.8079437484576,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2012",1.8663107295564,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2013",1.5876422045503,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2014",1.3613439480228,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2015",1.2069786432006,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2016",1.2932000645937,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2017",1.4622242586298,
"AUT","INFRAINVEST","RAIL","EUR","A","1994",696150000,
"AUT","INFRAINVEST","RAIL","EUR","A","1995",521000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1996",590000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1997",710000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1998",979000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1999",1120000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2000",1199000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2001",1071000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2002",1191000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2003",1145000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2004",1335000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2005",1330000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2006",1489000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2007",1505000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2008",1683000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2009",2062000000,
